ID,POP,EMP,AREA_KM,EMP_DENS,X,Y
94,3689,3000,1.960678,1530.082961,953765.6941,525081.8305
95,3084,195,0.687616,283.588515,956276.114,527686.7972
96,1411,214,0.743435,287.853007,960892.0179,530259.1299
97,1773,740,1.089976,678.914031,958171.0276,528209.6327
98,2183,1115,20.00949,55.723559,878796.2446,262544.3522
99,1217,652,487.279238,1.338042,1097528.946,354008.4612
100,3262,5744,18.909502,303.762627,880838.9302,266285.9611
101,597,608,305.488573,1.990254,889308.6019,286252.4704
102,2884,3850,3.602064,1068.831648,969327.378,459150.6328
103,2087,896,1.650073,543.006279,961610.3497,501230.3486
104,2933,604,1.845379,327.304039,961505.2868,499626.9267
105,4372,1044,1.952747,534.63147,963265.7477,499674.5049
106,4061,1115,2.248704,495.84116,963133.442,501348.2549
107,4013,7914,4.642734,1704.599057,970671.2769,501203.0804
108,6486,33734,15.388515,2192.154344,971168.3014,498830.8447
109,1848,8550,2.716705,3147.194856,956092.3902,507978.001
110,2707,8202,2.143583,3826.303903,966204.5596,464633.672
111,3992,9518,4.300994,2212.976814,969569.4442,458430.9461
112,5588,2442,330.28283,7.393663,1022349.583,505058.8836
113,3120,4648,11.949229,388.979071,984980.1841,499962.4524
114,2030,2315,2.185709,1059.152888,963220.8913,498161.4458
115,4022,10920,3.713801,2940.38372,966938.6297,498100.2466
116,4391,901,2.234031,403.306848,961542.4519,498128.8709
117,2527,1604,1.71204,936.893998,957091.8459,498509.8947
118,2533,1793,3.227374,555.560031,955690.8653,499844.0442
119,2415,784,1.210266,647.791477,957456.3949,501920.4328
120,3847,526,1.478704,355.716898,974409.3483,512492.6348
121,2575,702,1.163367,603.420933,977514.404,503278.9719
122,2028,90,0.832097,108.160467,977577.8103,504238.2759
123,3637,601,1.249438,481.016265,979000.2573,503165.8444
124,1587,455,6.431573,70.744746,977589.5673,499231.7531
125,2799,1853,0.709428,2611.963441,967573.8042,510616.9378
