ID,EMP,EMP_DENS,AREA_KM,X,Y
104,124,67.689631,1.831891,222903.2539,8165043.726
105,23400,1441.134666,16.237206,250716.9218,8144883.646
106,4284,79.317523,54.010764,254865.2909,8169349.145
107,4090,1517.462103,2.69529,227977.6507,8168787.193
108,6953,4597.002977,1.512507,235612.0847,8152139.534
109,1502,1150.648361,1.305351,224550.5017,8150644.293
110,567,361.227818,1.569647,232969.4835,8166825.116
111,93,173.80341,0.535087,232903.7724,8171863.083
112,1187,781.141397,1.519571,236278.1103,8165451.06
113,3760,1122.133797,3.350759,235058.4516,8143868.312
114,384,427.061408,0.899168,233075.4084,8159933.415
115,2615,1921.567231,1.360868,241448.1949,8165357.925
116,227,155.565107,1.459196,237893.4951,8167122.014
117,971,534.502512,1.816643,247330.7574,8161796.538
118,486,346.166995,1.403947,243953.2143,8158413.098
119,658,638.9374,1.029835,233100.0636,8168641.79
120,201,325.746019,0.617045,247055.178,8152339.079
121,1482,1340.559681,1.105508,242721.4369,8141792.287
122,5538,3090.157645,1.792142,234496.4979,8155675.094
123,114,151.81746,0.750902,228635.5597,8172210.971
124,1503,845.560634,1.777519,226588.9575,8155422.858
125,419,641.098562,0.653566,243163.5444,8144131.18
126,1166,1057.566184,1.102531,246071.539,8141360.31
127,772,253.188496,3.049112,242348.878,8137002.042
128,1183,2281.594176,0.518497,228037.2909,8156647.857
129,285,191.00645,1.492096,237881.9637,8140835.415
130,29,65.734835,0.441166,245763.8116,8144755.981
131,614,991.366964,0.619347,244595.4272,8152183.707
132,5586,2379.493125,2.347559,238179.116,8144267.192
133,513,626.898891,0.818314,239601.0649,8165505.254
134,2601,740.748153,3.511315,238252.9099,8165619.819
135,2415,1902.402567,1.269447,232689.0185,8153797.392
136,360,410.188963,0.877644,227861.8403,8161987.337
137,985,701.847826,1.403438,232290.7488,8165651.143
138,1475,101.062889,14.594873,259316.8612,8150282.915
139,760,548.002646,1.386855,229619.1369,8168872.963
140,313,581.207293,0.538534,234223.4518,8161193.3
141,443,205.622037,2.154438,227729.6026,8159032.424
142,1056,1460.403657,0.723088,226106.1491,8154095.557
143,258,375.59043,0.686918,244518.8846,8160067.422
144,7914,1105.862745,7.156403,242251.8093,8165761.567
145,194,225.092926,0.861866,246188.3902,8159287.164
146,979,836.585033,1.170234,247574.1342,8141190.697
147,1563,1376.700907,1.135323,226995.4523,8150636.282
148,535,1168.815059,0.457729,231031.9451,8151926.115
149,81,114.793066,0.705618,222594.0061,8160792.36
150,1206,878.631497,1.372589,224865.978,8160488.292
151,9,37.883136,0.237573,249024.1607,8159479.07
152,735,797.67585,0.921427,226186.3252,8150861.104
153,13338,7230.792522,1.844611,246164.7943,8163793.913
154,1441,1133.264583,1.271548,245879.76,8164884.681
155,986,895.930279,1.100532,228116.7878,8160939.045
156,140,214.187951,0.653632,222762.2044,8161993.367
157,101,212.814854,0.474591,242338.6,8143865.611
158,151,130.80639,1.154378,246013.3965,8140663.132
159,95,190.416014,0.498908,244608.0975,8149078.999
160,4335,2323.38508,1.865812,243471.7407,8140000.528
161,833,757.115257,1.100229,229727.0147,8160900.376
162,90,77.661928,1.158869,228577.6641,8162250.816
163,2623,3302.231331,0.794311,229709.1763,8160110.1
164,858,985.790036,0.870368,229637.3993,8158965.527
165,296,406.738335,0.727741,239050.3747,8142784.628
166,3242,1639.576338,1.97734,241289.0867,8142534.915
167,494,370.76202,1.332391,241166.0763,8168562.529
168,495,715.877621,0.691459,235854.0868,8168608.011
169,218,362.039115,0.602145,239560.2434,8169125.251
170,52,105.036452,0.495066,236634.8066,8166741.041
171,141,322.305259,0.437473,238135.7212,8164205.154
172,2019,1443.694794,1.398495,244042.48,8156799.889
173,352,112.467346,3.129797,254689.0537,8138021.419
174,48,35.83851,1.339341,226256.9353,8165530.506
175,623,467.435779,1.332803,229691.3043,8165416.494
176,8358,1217.670139,6.863928,235813.7247,8161902.38
177,2982,1447.830797,2.059633,239657.5143,8163686.076
178,841,764.673681,1.099816,244364.2516,8145549.785
179,166,166.613941,0.996315,239475.7598,8139056.788
180,1944,2127.300824,0.913834,228140.8582,8163308.812
181,148,151.622167,0.976111,228164.8426,8164186.425
182,3710,2662.54881,1.393402,238110.9567,8159758.116
183,197,138.535336,1.42202,232522.9852,8173219.763
184,261,21.318764,12.242736,229929.2176,8174646.756
185,105,81.113675,1.29448,228145.3162,8150360.147
186,363,674.591418,0.538103,235793.1031,8167046.477
187,450,614.619069,0.732161,237961.9162,8163254.945
188,5004,2874.844979,1.740616,223169.333,8156805.347
189,4520,8206.436345,0.550787,241406.3799,8151136.097
190,8734,3203.347607,2.726523,223084.6174,8155575.579
191,14846,7082.008974,2.096298,238818.2646,8158160.095
192,512,468.461518,1.092939,234653.0464,8168396.045
193,4866,1334.518217,3.64626,226175.2957,8148976.87
194,492,138.886334,3.542465,221548.4163,8154693.491
195,145,75.281086,1.926115,229751.6099,8137792.514
196,87,69.45144,1.252674,226774.2506,8139254.85
197,51,66.541627,0.766438,226506.8948,8140474.127
198,2841,80.33652,35.363742,239176.5502,8131536.936
199,754,3.700598,203.750836,280365.2541,8041985.089
200,1236,338.587825,3.650456,257402.4778,8137777.691
201,154,295.507155,0.521138,229994.6132,8150569.648
202,447,581.597639,0.768573,231898.8547,8150537.115
203,558,784.301891,0.711461,231377.2986,8149410.11
204,607,766.634053,0.791773,233272.3245,8157575.417
205,1294,2205.211274,0.586792,244421.1731,8154120.859
206,2381,1156.320473,2.059118,228177.265,8155536.158
207,2491,1167.917693,2.132856,228157.7049,8153894.326
208,1277,206.066133,6.19704,334468.3628,8231379.139
209,863,262.737428,3.284648,243087.2078,8134185.782
210,651,827.215608,0.786977,246090.5059,8160140.78
211,156,672.195952,0.232075,242276.4405,8159431.996
212,439,986.883707,0.444835,242508.4232,8157782.052
213,416,699.056186,0.595088,242478.765,8158446.315
214,265,902.370998,0.293671,242790.8029,8160272.553
215,687,817.871246,0.839986,247122.3537,8155134.233
216,196,520.982325,0.376212,246453.802,8155853.557
217,542,872.311259,0.621338,247522.5218,8156912.826
218,614,1342.782542,0.457259,231942.3895,8151880.441
219,1716,2686.751885,0.638689,233449.1773,8152188.081
220,233,676.411545,0.344465,234140.7989,8153646.758
221,2732,2589.081678,1.0552,234682.0988,8153117.256
222,102,455.956213,0.223706,243396.3897,8159211.213
223,429,857.893653,0.500062,241695.4075,8156778.177
224,2908,1190.397555,2.442881,229784.6139,8155566.684
225,24530,8174.535891,3.000782,237753.9239,8153398.884
226,356,630.606987,0.564535,233387.0913,8151117.091
227,617,1359.431646,0.453866,234777.1773,8152132.128
228,1035,1088.105514,0.951195,246015.1235,8152481.632
229,76,148.791158,0.510783,243581.8701,8152858.554
230,7431,907.72815,8.186372,246164.8232,8166600.385
231,713,2046.311789,0.348432,246613.6793,8151144.088
232,97,186.755587,0.519395,245830.7985,8149607.132
233,362,233.035123,1.553414,256823.8769,8139515.454
234,1228,274.72002,4.470006,230238.5572,8140024.624
235,263,35.49425,7.409651,254566.1639,8132859.791
236,107,132.664803,0.806544,225366.8456,8154003.07
237,160,128.403048,1.246076,228016.7999,8165505.361
238,3926,1314.634873,2.986381,249171.3142,8143933.907
239,4111,2283.895646,1.799995,227151.3538,8170347.315
240,38,169.834111,0.223748,244488.6597,8159003.161
241,1765,2405.926846,0.733605,247447.9852,8150964.671
242,2460,1625.703718,1.513191,242551.5115,8140679.195
243,1418,646.616235,2.192955,235092.4502,8158970.014
244,610,523.508041,1.165216,237218.2792,8158734.004
245,1922,637.78111,3.013573,236040.3844,8157308.507
246,114543,26746.17237,4.282594,237183.7204,8151326.278
247,1146,2612.409688,0.438675,238908.6616,8151845.584
248,7568,1649.85363,4.587074,232936.2263,8145562.92
249,3121,2459.928531,1.268736,237534.0436,8155672.772
250,113,238.113156,0.474564,245936.8748,8148626.587
251,50,77.5846,0.644458,246965.0957,8144421.893
252,111,375.917154,0.295278,238032.0881,8160896.226
253,9074,6181.65146,1.467893,237523.9965,8157258.289
