ID,NAME,EMP,AREA_KM,EMP_DENS,X,Y
211021262,Warrandyte - Wonga Park,2172,45.75911,47.465958,345187.1001,5821235.18
211031263,Bayswater North,9116,9.910453,919.836863,349766.3717,5811842.21
211031265,Croydon Hills - Warranwood,2083,9.491823,219.452048,347525.4504,5817964.309
211041271,Nunawading,6480,5.078414,1275.988921,339501.1539,5812882.361
211041272,Vermont,2701,4.609596,585.951567,341549.9368,5810583.221
211041273,Vermont South,2549,6.182531,412.290695,340574.5807,5808793.463
211051274,Belgrave - Selby,2048,55.653409,36.799183,355461.8267,5799707.278
211031451,Croydon - West,2804,6.79759,412.499136,348413.4102,5816213.465
211031452,Croydon South,2331,2.853161,816.988596,348544.473,5813306.424
211041269,Forest Hill,4885,4.071411,1199.82974,339067.4914,5810375.106
211041270,Mitcham (Vic.),6018,6.627288,908.063751,341481.4466,5812830.411
211051279,Monbulk - Silvan,2114,68.556712,30.835785,364426.4155,5808146.105
211051280,Montrose,1386,10.544091,131.448031,354578.0879,5813854.064
211051281,Mooroolbark,3446,12.543098,274.732765,352557.5585,5817125.514
211051282,Mount Dandenong - Olinda,2080,81.898568,25.397269,357117.1992,5808271.293
211051275,Chirnside Park,3432,22.201866,154.581601,351472.1684,5821849.471
211051276,Healesville - Yarra Glen,4149,369.517663,11.228151,367295.3054,5834601.361
211051277,Kilsyth,3737,8.243074,453.350291,352155.9743,5813334.625
211051278,Lilydale - Coldstream,9173,109.3811,83.862751,357991.4511,5824717.748
212011287,Beaconsfield - Officer,3952,41.179847,95.969274,359851.1747,5787790.741
212011288,Bunyip - Garfield,2104,373.112572,5.639049,381147.157,5784477.195
212011289,Emerald - Cockatoo,2966,371.622403,7.98122,373633.5983,5798404.487
212011290,Koo Wee Rup,2255,409.435668,5.507581,373332.1154,5770004.467
211051283,Mount Evelyn,1852,16.989239,109.01018,358076.8514,5816561.671
211051284,Upwey - Tecoma,1397,8.891428,157.117619,353247.1225,5803495.071
211051285,Wandin - Seville,1542,111.756288,13.797881,364699.5404,5819632.44
211051286,Yarra Valley,3088,729.761619,4.231519,383766.2716,5819115.124
212021295,Doveton,1824,5.194239,351.158274,345469.0199,5793766.324
212021297,Hallam,10642,8.056833,1320.8664,347988.8912,5791910.484
212021299,Narre Warren North,1358,34.409039,39.466374,353381.2967,5794388.967
212021453,Endeavour Hills - North,1216,14.471644,84.02639,346969.4002,5797250.818
212011291,Pakenham - North,3429,37.219909,92.128113,366418.7659,5788051.322
212011292,Pakenham - South,8463,49.757597,170.08458,367561.8497,5782648.167
212021293,Berwick - North,8200,19.749388,415.202739,355076.8719,5790109.505
212021294,Berwick - South,3063,14.858973,206.138069,355066.1274,5786108.4
212031301,Cranbourne East,3411,42.882845,79.542297,354653.3794,5781298.552
212031302,Cranbourne North,1714,10.240694,167.371469,350795.5303,5784220.232
212031303,Cranbourne South,2203,81.670099,26.974377,352178.2294,5776035.555
212031304,Cranbourne West,1036,12.894508,80.344283,346421.7295,5781436.483
212021454,Endeavour Hills - South,1693,5.590303,302.845839,347262.5417,5794602.603
212021455,Narre Warren - North East,977,4.873871,200.45668,351576.6958,5792275.712
