ID,POP,EMP,AREA_KM,EMP_DENS,X,Y
101,1489,1019,0.727587,1400.5198,151064.496,136475.504
102,3081,463,2.112006,219.222862,155437.691,134712.05
103,1160,640,1.329843,481.259818,153881.334,134694.718
104,3515,383,4.875239,78.560251,136511.382,108926.267
105,1831,307,33.471513,9.171979,118074.266,148476.447
106,4513,1138,11.912041,95.533587,148790.982,146919.614
107,3405,13370,1.001841,13345.43106,139290.321,136810.605
108,1103,527,2.982351,176.706229,148505.398,139916.638
109,4372,1098,8.261164,132.911052,151761.133,142438.805
110,2730,1721,7.373222,233.412204,139289.773,149634.191
111,1967,4064,1.871173,2171.899659,137815.864,130751.477
112,1970,652,0.819098,795.997549,139735.942,141998.09
113,3174,478,268.755705,1.778567,170327.121,122062.144
114,1217,126,0.466685,269.989393,142030.98,139512.824
115,1967,1022,0.981736,1041.013063,142524.67,140865.621
116,1893,1335,0.783703,1703.451435,138458.826,138780.434
117,2994,960,1.381541,694.876229,144148.416,136568.034
118,2110,4453,2.26861,1962.875946,140853.514,126655.393
119,2140,2697,1.598517,1687.188813,142235.04,126900.947
120,256,43,0.462972,92.878187,143907.708,126641.372
121,862,3044,6.343967,479.825951,133950.239,135613.659
122,1722,49,0.700244,69.975609,154596.742,122778.32
123,2245,130,1.94422,66.864861,132135.209,138206.225
124,4165,143,1.409613,101.446283,134683.484,128415.432
125,2726,569,18.186954,31.286163,128797.286,145170.274
126,2459,3862,3.011307,1282.499592,140890.678,142683.06
127,1802,978,1.268505,770.986319,135605.682,141235.938
128,2655,927,1.010267,917.579214,137475.02,139540.061
129,1835,105,1.028828,102.057876,139311.479,128014.518
130,1662,1988,1.245288,1596.417857,137122.224,138299.691
131,4660,863,2.43617,354.244572,131184.403,149950.955
132,1060,70,0.40253,173.900082,155902.506,121795.676
133,2971,1061,4.262837,248.895278,132136.96,151556.118
134,2946,953,1.7504,544.446984,146425.436,134199.787
135,623,85,0.315062,269.788169,136461.531,125174.006
136,4233,1630,2.493409,653.723477,140841.589,141328.278
137,2825,2844,4.64799,611.877392,135358.731,149345.513
138,2054,1561,2.546738,612.940946,141621.981,133339.123
139,1719,3590,4.325221,830.015391,126408.648,149898.865
140,2809,420,1.273965,329.679387,138638.681,126676.253
141,4259,372,29.296648,12.697698,160856.109,141231.107
142,4802,1566,109.731779,14.271162,125160.256,162134.605
143,5044,410,9.793189,41.865831,130507.987,138841.905
144,2680,429,1.184991,362.028066,137769.775,125283.352
145,1418,1103,475.710297,2.318638,94037.958,81928.793
146,1391,775,21.673977,35.757166,116588.883,157657.471
147,2863,2448,1.598397,1531.534406,132941.941,149136.29
148,1065,271,1.973314,137.332427,132952.283,147755.932
149,2900,5644,3.687719,1530.485376,134546.116,145630.102
150,2484,382,0.765528,499.001996,151804.313,136448.822
151,2626,1698,1.40063,1212.311603,151729.493,134855.737
152,1944,1569,1.338969,1171.797107,149073.412,134709.089
153,2624,4652,2.119476,2194.882131,151183.026,133099.458
154,3288,2077,1.426617,1455.891806,138741.833,140840.299
155,4318,1829,1.64004,1115.216702,142191.606,138852.833
156,2468,653,1.251359,521.832664,143851.091,140557.811
157,1756,481,5.214919,92.235373,149304.327,143077.227
158,3830,727,9.899823,73.435656,144030.735,166328.88
159,1407,1197,0.921456,1299.031099,150723.048,129968.318
160,1072,334,0.961189,347.48629,153873.912,131791.837
161,2435,785,28.057575,27.978184,140247.777,96540.581
162,3555,841,2.423092,347.077205,132694.141,146409.152
163,458,41,0.244974,167.3647,147737.6,133162.525
164,1250,135,2.623366,51.460604,129206.586,154177.29
165,4116,77,2.90979,26.462391,147160.477,118587.757
166,1277,90,7.188216,12.520492,131595.559,129980.19
167,1330,1028,2.339565,439.397922,141465.054,129184.362
168,2524,5169,2.160495,2392.507273,147395.354,135646.855
169,1772,1478,1.15565,1278.933933,150476.033,134703.071
170,2494,4988,1.62757,3064.691534,147478.975,137311.835
171,1692,2104,1.24754,1686.51907,144581.933,135192.441
172,2510,1533,1.079741,1419.78493,139669.774,140320.023
173,2015,395,1.272836,310.330632,129737.478,149226.291
174,941,1138,1.276113,891.770556,147220.967,139582.213
175,646,4005,1.095281,3656.595887,136067.585,128447.867
176,3069,248,9.872836,25.119429,157430.893,126150.049
177,2098,84,4.185322,20.07014,153187.996,129849.515
178,1801,225,9.109114,24.700536,132331.735,92046.305
179,443,2547,168.167315,15.14563,78917.386,110115.425
180,837,1350,0.404773,3335.202694,137723.759,134626.874
181,2342,571,4.766197,119.802014,147825.651,141933.19
182,2126,779,3.624956,214.89916,137759.263,145557.54
183,3455,5382,1.565889,3437.02523,147498.99,138491.101
184,2765,359,2.300045,156.083903,155562.253,131232.572
185,1648,66,4.023894,16.402023,129574.993,152131.279
186,2371,1124,4.26707,263.412599,137238.438,153986.036
187,2659,376,51.734766,7.26784,125248.588,140180.675
188,3555,985,9.869491,99.802513,122876.359,153169.031
189,2208,314,3.469128,90.512659,135203.064,154474.784
190,715,29,1.774932,16.338654,147506.175,144439.829
191,1141,341,3.282899,103.871609,139393.54,162681.657
192,1783,525,19.873215,26.417467,144040.035,116320.893
193,1213,848,9.094481,93.243364,137108.572,104103.847
194,1300,65,8.584135,7.572108,126528.432,127730.136
195,1102,242,3.11565,77.672396,133569.949,98084.473
196,1050,271,5.183671,52.279552,156480.057,144724.846
197,1767,170,0.716353,237.313168,134525.226,142657.509
198,1328,328,0.444782,737.439914,136583.466,139481.653
199,1770,3890,2.687922,1447.214614,130342.713,147647.936
200,932,107,2.427919,44.070663,155429.764,142640.207
201,2353,237,4.207229,56.331614,132069.179,140184.782
202,4798,419,8.001143,52.367518,123817.384,149628.81
203,1590,319,0.821242,388.436052,141325.305,140560.84
204,1724,391,0.87896,444.843906,152673.891,136326.701
205,3267,322,1.912838,168.336263,153865.345,136348.528
206,2322,2605,1.04571,2491.130428,131791.916,147917.305
207,1753,272,0.600753,452.765113,137442.271,126744.191
208,774,21,0.255865,82.074531,152116.536,131099.299
209,2924,158,15.156338,10.424682,123489.868,125348.781
210,916,812,0.482801,1681.852357,142176.764,137408.058
211,2317,547,7.137924,76.632926,157580.974,132877.897
212,2081,178,2.116313,84.108542,135287.108,132053.784
213,2880,495,7.726443,64.065703,157951.271,135913.217
214,1568,132,2.411981,54.726799,134504.286,151145.27
215,559,1503,1.331845,1128.509699,135046.064,96398.311
216,164,67,0.405079,165.399836,134226.067,94669.553
217,2532,788,4.590975,171.6411,137815.612,107611.012
218,1024,453,2.410058,187.962281,136026.423,97726.022
219,3419,768,2.65852,288.882536,153164.797,133151.261
220,261,126,12.200803,10.327189,135014.407,85875.038
221,2830,554,0.963477,575.000752,152682.739,134790.007
222,45,2483,0.723172,3433.484704,127047.241,125482.115
223,3308,705,1.244715,566.394717,137960.941,142140.583
224,4212,327,2.158389,151.501884,155456.788,136313.515
225,696,471,1.052184,447.640337,135985.648,126722.538
226,638,5041,0.385648,13071.50562,139614.132,138233.396
227,617,95,0.340662,278.868791,150464.464,131125.53
228,1535,156,73.89368,2.111141,110972.349,125969.811
229,1748,324,116.092848,2.79087,103544.519,145919.305
230,1755,189,0.864696,218.573927,152034.032,131840.817
231,252,1240,23.491766,52.784452,130388.902,121614.451
232,1743,189,26.522503,7.126024,104256.348,159984.232
233,1492,402,1.395509,288.066935,136387.638,146351.632
234,886,1247,9.430255,132.233964,154656.414,120543.627
235,619,242,24.224029,9.990081,108798.574,117744.937
236,643,78,1.788627,43.608869,128973.158,124964.941
237,1494,128,1.799333,71.137471,137200.257,152532.026
238,551,254,25.67151,9.894237,126462.652,91878.5
239,2178,111,1.369803,81.03355,131301.444,125339.985
240,23,16,0.152616,104.838287,26568.796,131688.581
,,,,,137235.944,135493.452
