ID,EMP,AREA_KM,EMP_DENS,X,Y
104,10234,75.022611,136.412208,165877.4842,382687.2974
105,2245,2.321786,966.927946,324486.1989,560538.8319
106,6985,2.338002,2987.593738,340472.8671,579607.4135
107,374,2.161066,173.062775,316692.7028,549643.3695
108,384,3.726511,103.04544,314999.1522,548593.8053
109,1159,4.155762,278.889915,311851.3553,379017.6943
110,16159,0.318308,50765.22232,359196.8804,580217.2748
111,33994,0.655801,51835.83514,357715.258,580462.0867
112,294,2.105595,139.628003,316514.3124,561099.6726
113,568,87.424363,6.497045,190267.3574,172993.3401
114,6778,84.158371,80.538631,142489.607,568313.811
115,2669,26.602736,100.328027,144217.2671,187635.6041
116,884,98.860122,8.941927,140449.9627,180250.9671
117,847,2.862756,295.868777,331315.1376,569954.9772
118,7915,4.568512,1732.511769,317864.3055,586094.9941
119,2378,1.59314,1492.649694,320539.0458,587333.4733
120,1893,1.314951,1439.597674,324547.6203,574966.3712
121,1954,3.01128,648.893474,322186.6155,580671.519
122,861,3.058475,281.512867,308315.3432,583728.5977
123,3981,2.603414,1529.145852,357301.8403,544284.0437
124,156,15.570092,10.019209,40439.36599,405685.3967
125,3744,41.181556,90.914486,321130.8925,624084.0268
126,837,7.953769,105.233127,338228.9055,616493.1188
127,4299,14.841488,289.660982,324691.1678,611597.9711
128,912,19.898165,45.833373,252535.2227,80407.12789
129,2294,32.408328,70.784276,135279.2512,197304.4676
130,170,37.53886,4.52864,304520.4902,195797.4777
131,188,48.755647,3.855964,287366.7159,127958.8901
132,1439,62.320178,23.090435,146292.4456,197771.2971
133,6480,15.956331,406.108395,261634.3649,540224.8954
134,31077,96.917144,320.655342,236327.4171,557918.1124
135,680,28.459028,23.893999,159311.2977,188156.8534
136,2356,5.293835,445.046016,154763.819,211081.5113
137,528,16.161785,32.669659,164327.8939,202067.0134
138,1234,1.666911,740.291535,145672.5633,212425.845
139,1443,37.218773,38.770757,307886.4802,148335.3934
140,3092,35.807518,86.350581,296765.6158,178136.1115
141,6670,11.405696,584.795543,154008.8381,214870.6378
142,11391,179.687269,63.393473,138226.5676,317447.9231
143,676,25.737189,26.265495,225711.9583,118657.5425
144,6046,113.461473,53.28681,320855.7814,376035.7257
145,2733,41.456664,65.924262,267403.1253,503459.88
146,2931,3.372199,869.165669,141518.6723,228900.0059
147,687,66.760165,10.290568,165284.797,248888.868
148,2290,22.097774,103.630346,136208.4813,256502.7869
149,1104,16.949294,65.135455,159271.0928,224942.4779
150,4744,13.63317,347.974825,159171.8361,229996.1843
151,221,1.959937,112.758745,148100.0253,230303.6499
152,66,6.401291,10.31042,185600.3395,231929.0485
153,3958,14.742488,268.47571,182247.8022,232246.5545
154,1699,29.434858,57.72068,263480.7849,195818.3884
155,19010,98.075242,193.830774,235886.9136,526418.3733
156,1760,29.86086,58.94003,182403.8785,455268.3168
157,1129,174.393596,6.473862,173238.2246,325058.7662
158,465,29.806552,15.600597,197019.5656,207070.9464
159,1431,41.375932,34.585324,187235.31,207419.5014
160,885,56.197302,15.748087,135299.466,421112.4589
161,372,54.674049,6.803959,108740.6345,456316.701
162,1053,20.401996,51.612598,251790.3241,140133.9179
163,6254,132.419389,47.228733,230564.0608,195007.5319
164,4701,193.466296,24.298806,259743.9082,241256.6659
165,1516,78.565741,19.295942,263135.1047,76779.44803
166,2419,187.267576,12.917346,216354.534,567335.2337
167,669,31.343827,21.343916,166213.0912,270160.4496
168,6625,102.967781,64.340514,286157.4832,326538.4
169,2970,11.640514,255.143383,154008.5722,228740.1567
170,15224,130.357253,116.786751,267093.3961,321471.6692
171,1561,2.986844,522.62515,323341.169,631144.9748
172,3096,12.327039,251.155204,156908.4276,234034.9059
173,16919,123.094907,137.446792,230166.9695,532749.2888
174,4250,2.844031,1494.35757,300032.1363,384747.8693
175,391,21.420515,18.253529,299977.1091,96117.90331
176,18435,3.977294,4635.060766,329802.9044,594863.5021
177,2444,6.489808,376.590488,321153.3228,608452.5496
178,912,75.050052,12.15189,182931.7392,420722.028
179,2081,11.515645,180.710671,299271.397,530715.9796
180,15824,186.380657,84.901514,152817.8781,570043.9649
181,1709,24.143077,70.786337,236481.8567,162279.6052
182,1768,10.330869,171.137585,234881.0387,121418.8376
183,21063,153.298011,137.399043,225825.4744,539392.3036
184,33526,9.703284,3455.119023,332493.1492,574475.4019
185,3357,2.308481,1454.203192,320161.2825,584373.5679
186,2036,1.016694,2002.568504,327280.9335,584949.8588
187,426,1.596498,266.833963,317944.2271,565975.6991
188,1537,1.772132,867.31706,327131.2944,565476.5418
189,13015,7.627815,1706.255418,333474.4723,564330.3076
190,1551,1.168084,1327.815922,331566.6425,567819.1305
191,5013,3.78073,1325.934472,323201.9295,584151.9747
192,1203,0.816842,1472.745552,328123.9917,584029.5277
193,1733,1.969791,879.788835,329306.6646,570825.9942
194,671,2.056932,326.213991,314444.3221,584925.9382
195,876,1.66101,527.389993,325697.8978,585408.1424
196,1696,1.183694,1432.802674,303027.4514,563320.7016
197,2276,44.676593,50.943902,291555.9018,576090.1013
198,8749,10.788725,810.939161,304205.9524,578545.6166
199,3451,23.692122,145.66023,164994.1776,208868.7767
200,5606,20.966627,267.377292,249259.6763,321806.1433
201,2477,8.916037,277.814007,312250.3008,549759.2165
202,422,1.479338,285.262742,302399.4258,380021.4813
203,8351,3.699784,2257.158985,346140.4972,577229.4029
204,3902,0.561397,6950.517571,354918.4405,583346.4141
205,3967,13.626932,291.114683,319692.2465,548909.1332
206,20132,2.45568,8198.137821,338671.5027,579917.1596
207,1117,6.252414,178.651005,329052.1701,544977.5933
208,1169,5.429984,215.286083,326481.0982,545112.1559
209,3461,13.057921,265.049856,242822.5206,462466.863
210,2743,117.464101,23.351815,136760.0465,261198.4733
211,415,1.513252,274.243726,329135.843,565527.1442
212,367,1.681881,218.208013,320712.2547,567482.7258
213,12195,5.24142,2326.659577,328637.0312,573181.7811
214,1465,1.120607,1307.32768,329137.0395,583606.6151
215,399,38.382344,10.395405,47049.86042,430454.7015
216,881,93.143182,9.458556,94336.33303,413458.6926
217,306,5.789499,52.854314,316051.9214,617103.7734
218,8968,6.980133,1284.789216,320387.9616,614798.3646
219,443,50.339824,8.80019,281169.7173,202616.7427
220,923,46.303671,19.933625,208803.2042,245051.0632
221,815,46.803575,17.4132,174677.2755,189218.6385
222,26310,169.788504,154.957488,216110.7606,589710.5946
223,374,45.579716,8.205404,248326.8762,291007.124
224,4691,105.264923,44.563753,92509.99499,300587.5713
225,7301,168.699365,43.278171,316878.6302,381521.1908
226,658,58.446801,11.258101,155102.6005,254187.2056
227,1978,2.325924,850.414651,183775.565,230177.9009
228,2814,18.468104,152.370808,114099.0353,479132.4796
229,6005,85.121895,70.545892,116117.1773,246749.8123
230,1503,28.691954,52.384023,185583.4288,218238.1992
231,4310,2.802488,1537.919135,331670.4742,585261.1039
232,2932,55.579093,52.753649,220643.378,594596.7968
233,11099,17.021104,652.072881,245150.293,471139.89
234,1946,63.807446,30.498008,156952.6632,395420.9829
235,1801,4.842053,371.949684,306690.7485,613506.2588
236,849,112.744795,7.530281,311629.3017,253542.3681
237,258,25.34049,10.181334,345812.5773,272422.8228
238,931,83.329679,11.17249,254286.1578,206817.0465
239,646,3.732176,173.089379,321092.1922,610503.9956
240,46,0.901195,51.043349,329446.3606,630859.2388
241,494,3.343979,147.728216,158715.1668,239919.6606
242,1515,1.382949,1095.484834,143931.4038,229449.6232
243,10641,2.704479,3934.584464,329334.6314,596833.4793
244,2079,4.489682,463.061729,346674.6203,607298.0826
245,2912,2.178759,1336.540389,316124.7343,575780.781
246,1122,3.168292,354.134032,311453.4024,589693.5209
247,668,2.153255,310.228015,322299.2392,588096.122
248,12906,5.71846,2256.901215,333123.6779,588849.6826
249,585,1.397426,418.626898,323613.8772,575297.1054
250,941,4.451356,211.396279,328428.2509,562586.2149
251,612,5.673733,107.865498,308560.9643,577130.5401
252,10462,6.544189,1598.670215,328208.6519,559413.9651
253,2206,2.343346,941.388836,323465.477,582328.7041
254,7651,2.959916,2584.870935,309553.7557,565702.3069
255,5997,4.591783,1306.028502,319194.3852,582111.5761
256,5429,3.135484,1731.470903,318150.016,583503.8762
257,1489,1.155106,1289.058647,321585.346,583480.1378
258,6323,2.648879,2387.047326,326362.7624,583711.041
259,4700,2.32857,2018.406373,322000.8917,569831.1444
260,657,4.201377,156.377303,309061.3921,572559.7262
261,780,27.650745,28.209005,135384.387,303691.4135
262,2526,1.660303,1521.409025,330066.3054,624136.2674
263,1713,42.511851,40.294647,251916.6246,230239.558
264,1436,5.862899,244.930037,323801.7218,537247.838
265,2573,4.88308,526.921504,337859.2451,537642.7062
266,554,6.5917,84.045085,300837.1871,379983.4377
267,814,1.208684,673.459697,303884.5772,380201.4056
268,3179,0.567611,5600.671264,355495.7285,583655.2329
269,854,0.372268,2294.043255,356464.8105,573795.5268
270,1308,82.71165,15.813975,227524.5348,441445.9673
271,971,76.669554,12.66474,252598.8702,439022.053
272,1683,59.024016,28.513817,246446.2899,282836.6501
273,2484,106.947113,23.226433,270841.8867,591871.469
274,1079,2.166355,498.071745,318061.8289,587877.1675
275,1709,1.194565,1430.646099,314276.2499,571849.862
276,4766,6.345036,751.138321,342242.1424,549606.0874
