ID,POP,EMP,AREA_KM,EMP_DENS,X,Y
91,9313,866,3.061042311,282.91017,1913977.662,719898.1091
92,2040,58561,1.425252161,41088.16783,1913713.359,731012.3696
93,1569,2285,0.64260645,3555.8311,1912520.94,730181.0295
94,2706,815,1.394084732,584.612959,1931891.692,744766.9684
95,4315,218,2.089677733,104.322306,1934803.423,743557.4514
96,2340,416,1.551281667,268.165356,1917486.647,743636.7914
97,3492,378,7.261553219,52.054979,1919081.456,745283.3256
98,4504,2172,4.61401519,470.739673,1917913.458,740230.7481
99,4066,2032,2.663272991,762.970979,1919866.684,738223.5219
100,5254,927,2.911710918,318.369517,1918255.934,738396.4492
101,4830,459,1.737003587,264.248159,1918061.892,736232.6624
102,3869,1455,2.186418698,665.471806,1918994.269,735983.1432
103,2806,7979,0.4176866,19102.8393,1912677.367,731514.2167
104,1375,1001,0.615238792,1627.010541,1913357.608,728904.1657
105,2944,3193,2.089546975,1528.082421,1913130.334,727428.8118
106,1596,906,0.826290309,1096.466932,1913825.593,726128.5636
107,3058,1356,1.243954751,1090.071804,1919649.031,735259.875
108,6435,1790,3.004986549,595.676543,1916432.434,737101.1636
109,2808,608,1.290762497,471.039406,1909720.705,723291.1706
110,1317,8333,0.324155075,25706.83183,1912567.258,730930.8945
111,2730,17368,2.157994906,8048.211769,1918068.29,728006.0184
112,5219,188,1.637812383,114.787263,1918776.161,715333.8931
113,5741,508,1.682958438,301.849403,1918157.689,717422.0977
114,5989,717,2.45482651,292.077667,1915096.592,713729.1689
115,4504,10727,2.349108705,4566.412775,1919254.101,733972.6238
116,1792,361,1.203744012,299.89765,1911150.19,725755.2869
117,3097,1098,1.449839132,757.3254,1912172.001,729002.5234
118,705,93,0.591687871,157.177466,1914362.113,727491.2481
119,1411,4771,0.555938298,8581.887625,1914455.541,728556.026
120,4631,1035,1.386404269,746.535497,1920337.801,713063.1196
121,6252,1285,2.366425268,543.013134,1913861.892,737166.1422
122,4984,1796,3.203566076,560.62524,1929340.215,736880.4046
123,2337,1209,97.86227995,12.354096,1908254.977,698380.7383
124,1120,234,77.08087111,3.035773,1898221.886,679610.4213
125,5094,385,5.852681094,65.781818,1925606.897,719314.3586
126,4299,1747,3.238563832,539.436642,1922700.825,714689.1274
127,11730,1730,4.519112246,382.818551,1922342.405,716353.7874
128,4576,452,2.363924163,191.207488,1923325.293,718439.819
129,2443,1262,1.281559391,984.737819,1921533.778,719893.7023
130,4509,1091,2.109495549,517.185258,1921168.545,719007.3992
131,4835,156,1.579576084,98.760675,1922409.499,717869.5898
132,3544,915,1.369457282,668.147895,1921147.784,717978.064
133,4012,251,12.72820551,19.719983,1931037.403,718495.3762
134,4482,4446,2.257906271,1969.08085,1922991.035,713074.1064
135,4131,369,1.120002905,329.463431,1923102.271,719897.3165
136,5048,3307,4.267941011,774.846698,1924756.166,710572.8084
137,4156,370,2.488399543,148.689949,1926164.603,711200.9986
138,4061,691,2.125383539,325.11779,1924713.635,713027.6714
139,2544,690,11.6356695,59.300412,1929032.146,714953.4615
140,5872,870,1.93237014,450.224303,1924709.421,717712.6648
141,5117,286,2.119749379,134.92161,1926281.986,713063.0807
142,2919,216,5.492074776,39.329399,1928760.576,719359.4634
143,5677,867,4.975258301,174.262309,1924712.735,715460.3437
144,3775,521,3.220054331,161.798512,1940943.215,744598.4064
145,3318,1436,2.133123526,673.191206,1943385.058,742152.7955
146,2520,3439,1.109171106,3100.513511,1944136.492,741148.1864
147,5650,1944,3.042872268,638.870064,1943290.504,739028.2837
148,2989,15897,4.555082431,3489.94782,1940929.778,739020.145
149,3233,344,3.63354419,94.673405,1947549.96,741053.662
150,3274,713,3.320716349,214.712708,1946020.126,740495.1146
151,2033,3105,1.700143959,1826.315933,1941516.531,741899.5962
152,480,1030,14.77481973,69.713202,1928916.432,711687.1627
153,1754,522,1.388605771,375.916629,1926255.885,717598.7057
154,2737,851,2.282848461,372.779891,1940325.153,743193.2326
155,4096,562,4.377817878,128.374459,1945610.46,743453.6636
156,3173,4625,3.07660636,1503.279737,1945185.167,738894.7661
157,2810,5482,2.944629502,1861.694314,1922866.775,727766.8289
158,1890,9232,8.169586088,1130.045011,1921939.972,726463.0762
159,2848,817,1.603440367,509.529395,1925581.205,733810.9672
160,7769,2681,3.027115426,885.661636,1916369.005,738852.7004
161,6961,1106,4.126163004,268.045639,1930717.814,698035.8206
162,1972,1032,2.987033593,345.493269,1929191.138,697099.1632
163,4161,9365,4.236860737,2210.362951,1934950.428,735932.5202
164,4248,1404,1.271380929,1104.311043,1930438.772,732008.7745
165,3043,1021,1.169042473,873.364333,1924754.01,729630.9038
166,2281,205,0.703054178,291.584925,1924044.175,729207.0969
167,3118,7395,19.13709371,386.422312,1932549.222,727729.153
168,2818,15879,42.37768026,374.701963,1937514.601,730249.5713
169,1477,464,43.29084015,10.718203,1931951.534,704657.6417
170,4055,972,1.266961023,767.190136,1931961.938,734714.9005
171,3771,1650,1.752392746,941.56975,1932279.896,734009.6747
172,2582,1548,0.896053159,1727.576076,1929959.252,730707.074
173,3312,552,3.010876673,183.335307,1930382.406,734631.2627
174,3314,2031,4.498955985,451.438068,1932685.002,730584.0512
175,1973,370,2.017496258,183.395631,1935115.732,736671.8869
176,4014,3364,1.31671786,2554.837374,1928767.255,741451.9706
177,2834,907,1.713065371,529.460239,1928761.502,739581.8422
178,2816,345,1.591600638,216.762919,1930146.048,738052.017
179,2829,1844,1.193382088,1545.188267,1933247.085,741276.003
180,5835,2264,1.919985162,1179.175779,1931988.714,742691.7437
181,2537,2891,1.356400975,2131.375643,1932326.65,741254.9686
182,3738,1272,1.610101497,790.012308,1933245.528,743154.8105
183,3164,259,11.96495932,21.646542,1917374.257,746585.4449
184,3277,861,1.740405522,494.712289,1926966.369,733782.9109
185,2296,604,1.212838194,498.005425,1932212.649,743860.5903
186,2455,377,1.607095486,234.584692,1939063.036,740757.2593
187,2247,812,2.016650283,402.647899,1922155.632,746217.0197
188,5580,1507,2.208782752,682.276244,1927086.944,735272.8474
189,3611,863,2.494279013,345.991766,1934028.951,739816.4007
190,5266,1061,2.54005073,417.708193,1927320.248,738724.4743
191,1466,1108,0.698517481,1586.216566,1928760.397,740619.1599
192,2030,1480,0.742091418,1994.363449,1928614.152,744757.495
193,2137,90,1.107138453,81.290646,1929088.325,743903.2912
194,7223,772,2.103742824,366.965007,1919964.035,721155.9723
195,3988,1956,1.880618003,1040.08363,1921362.738,721055.587
196,2329,114,1.271886165,89.630663,1909967.256,734433.5596
197,4107,4779,2.145736378,2227.207428,1927136.054,736901.8981
198,4113,753,1.472111784,511.510069,1909880.108,721534.6156
199,5018,604,1.505593266,401.170763,1913946.001,721125.9172
200,4752,642,1.65389332,388.174976,1912833.96,721147.1614
201,4144,1120,2.25349041,497.006774,1937835.831,741370.5347
202,3691,360,4.517198153,79.695419,1937830.045,738986.6447
203,3552,805,3.054688287,263.529344,1937971.212,742787.4802
204,2711,1006,1.579948586,636.72958,1918603.945,727139.5845
205,5070,450,1.497493978,300.502043,1919903.636,724647.2768
206,5568,1082,1.74780435,619.062425,1919575.207,723116.7269
207,2428,806,0.996887951,808.516142,1919850.033,725511.832
208,4399,2515,2.530085663,994.037489,1915980.22,722692.3184
209,2919,3829,2.001979105,1912.607375,1920743.33,714409.9975
210,6015,666,5.812985544,114.571075,1915033.626,718672.2809
211,2381,131,0.768560087,170.448612,1916387.934,719967.3179
212,3040,1676,1.158844898,1446.267747,1918094.641,722382.7414
213,4209,822,2.435217536,337.546847,1909097.54,738910.179
214,4147,822,1.808302722,454.569907,1917413.231,721056.1135
215,3642,2857,2.091286689,1366.144592,1915266.781,735878.6021
216,6265,708,1.535496581,461.08862,1913731.39,735125.1089
217,4270,941,1.54139716,610.4851,1914658.172,735544.3209
218,1264,449,0.259229822,1732.053807,1920442.879,731835.6313
219,4226,384,0.632556045,607.060834,1921056.673,731805.8219
220,6292,1231,3.120325818,394.510084,1913705.134,740859.7454
221,5057,459,2.037715501,225.252249,1919065.03,726388.4064
222,2298,449,0.950516786,472.374614,1918392.091,725553.0711
223,3589,264,1.312259754,201.179682,1925306.98,743172.5443
224,5300,3245,2.177149547,1490.480984,1926465.273,740887.1574
225,2224,2452,1.219544057,2010.58747,1920263.204,729746.4115
226,6009,415,1.960953258,211.631765,1917767.337,711466.2393
227,3594,949,1.26702005,749.001565,1918572.648,724347.2037
228,4138,689,1.202852117,572.805244,1917379.268,723159.7209
229,1776,16678,44.44669575,375.235993,1926612.378,722958.1747
230,3836,312,1.877579375,166.171404,1945776.849,741913.1591
231,1763,333,0.974799804,341.608604,1943848.035,740259.4877
232,2439,275,1.316752083,208.847211,1932620.113,735881.2413
233,4453,3530,2.622250572,1346.171887,1928626.975,730403.043
234,4811,624,1.259665244,495.369705,1924702.394,726971.0351
235,2931,1075,2.800882288,383.807633,1926286.615,726601.1243
236,5099,1024,1.749636006,585.26459,1919206.377,711398.4668
237,1985,313,1.617552918,193.50217,1934468.435,741184.2263
238,4155,1154,3.334247803,346.105049,1931923.227,738082.4473
239,2181,93,1.035503753,89.81136,1908802.762,721363.7364
240,3664,1071,2.92040215,366.730315,1933842.236,738485.3778
