ID,EMP,AREA_KM,EMP_DENS,X,Y
105,1415,1.173047,1206.260072,1926151.728,663535.0902
106,2395,2.068982,1157.574242,1935690.02,667950.7841
107,2396,1.85085,1294.540251,1934167.855,667922.5846
108,712,2.1494,331.255177,1934140.649,669606.5101
109,168,2.748152,61.131997,1941682.549,664138.9296
110,3041,14.448672,210.469167,1918405.998,665073.9397
111,1013,1.564304,647.572237,1927862.75,663214.9347
112,2819,2.481176,1136.154811,1925951.851,664779.1337
113,749,1.885113,397.323643,1935738.237,669432.6817
114,262,3.48932,75.08626,1937990.573,669506.4367
115,1581,1.588317,995.393513,1937208.419,667774.7161
116,687,1.172566,585.89449,1936692.272,656280.7176
117,1236,1.128203,1095.547762,1928244.683,658433.8421
118,8757,2.479455,3531.824011,1927624.119,667887.1323
119,2215,1.890908,1171.394827,1938364.391,661402.9212
120,1270,2.273723,558.555174,1922366.613,662278.228
121,3767,2.21264,1702.49089,1929525.542,664783.0823
122,535,1.941905,275.502635,1923741.883,660676.3415
123,901,2.467886,365.089847,1919735.258,666531.3841
124,195,41.599272,4.687582,1939471.216,676228.5602
125,1058,1.089554,971.039164,1929060.349,658210.4721
126,971,1.705702,569.267131,1938299.089,656606.9897
127,881,5.566534,158.267246,1938265.117,653798.6592
128,3610,2.056244,1755.628314,1929033.003,659959.8547
129,7420,1.227073,6046.907827,1928969.909,661568.6355
130,1813,34.755687,52.164125,1867303.561,671280.4195
131,1933,1.884778,1025.585074,1927975.133,666333.3817
132,3292,2.487354,1323.49488,1930701.366,654981.2453
133,8518,2.469329,3449.52032,1929326.759,667994.5835
134,3943,3.711434,1062.392736,1928825.785,669747.7134
135,9180,0.989503,9277.386757,1930207.16,656806.5557
136,4698,1.827816,2570.280159,1927837.913,664746.6395
137,1122,1.986709,564.753136,1934189.722,672810.0236
138,441,3.08913,142.758649,1918746.053,667763.1899
139,566,1.695401,333.844293,1930989.865,669601.8644
140,314,1.462306,214.729341,1939983.516,666378.5033
141,160,2.466424,64.871235,1940626.447,669518.4229
142,1173,14.823911,79.128916,1932271.712,674439.161
143,5495,0.764192,7190.60002,1929215.23,656034.0625
144,536,245.768038,2.180918,1980997.343,655328.7563
145,493,2.002987,246.13239,1934219.297,671182.2648
146,740,3.389973,218.290804,1932470.477,672440.3664
147,529,1.952571,270.924792,1935641.481,666344.4638
148,3899,2.495316,1562.527826,1937049.766,665698.8388
149,377,0.770565,489.251258,1936046.516,665128.8613
150,1100,2.426225,453.379155,1933586.229,661632.9026
151,2418,1.997651,1210.421386,1938259.515,663191.9617
152,2186,1.921234,1137.810471,1938207.644,664706.9474
153,3043,1.773878,1715.450993,1929540.077,663194.8854
154,2303,2.090125,1101.84781,1930222.699,661603.2323
155,2677,1.411543,1896.506816,1930514.198,659935.2837
156,188,0.840276,223.735982,1935144.298,657036.8065
157,1663,1.25246,1327.786943,1935029.085,655481.5566
158,1467,1.206168,1216.248321,1935042.525,656279.4774
159,555,8.430918,65.829128,1970754.216,645923.9674
160,317,1.184346,267.658158,1931832.535,659543.9154
161,4689,2.011847,2330.693622,1930882.229,667999.9289
162,711,2.897857,245.353686,1942074.603,662377.6429
163,176,0.872608,201.694283,1936658.203,656983.2183
164,530,1.99623,265.500404,1936600.549,655083.4222
165,410,1.321819,310.178728,1935689.596,662754.2755
166,1611,1.877729,857.951291,1930177.145,658401.999
167,4745,2.18637,2170.263938,1932487.754,667882.3098
168,300,1.06441,281.846256,1935078.515,657895.1677
169,2611,2.396058,1089.706579,1936690.455,658299.5125
170,1141,2.063958,552.821267,1932506.781,669587.9495
171,356,0.824459,431.798256,1933569.787,666824.0887
172,1109,1.874498,591.624939,1931907.607,670788.4913
173,1711,1.90573,897.818632,1960706.288,641148.6949
174,1085,1.220049,889.308762,1931856.932,660342.0843
175,918,1.582915,579.942729,1931538.748,662779.2616
176,693,1.006481,688.537831,1931870.918,661977.8906
177,1058,1.264908,836.424606,1931867.68,661153.3132
178,2233,1.471388,1517.61479,1959174.341,641361.285
179,2543,1.958816,1298.232935,1936141.623,663535.7957
180,1780,1.134868,1568.463732,1935776.424,664275.9458
181,621,1.211165,512.729639,1931917.259,665173.511
182,5863,1.71606,3416.54692,1931470.393,663597.6962
183,2722,1.296999,2098.691201,1931902.788,664368.9354
184,281,1.251312,224.564331,1933760.85,662748.2224
185,452,1.308941,345.317393,1935061.926,658701.5722
186,803,1.398861,574.03854,1933710.848,659538.493
187,491,1.086127,452.064823,1933458.067,654650.521
188,333,1.082063,307.745481,1931878.911,657895.649
189,406,1.014113,400.349922,1933398.087,657118.2825
190,508,1.131716,448.875728,1931818.32,657115.1476
191,443,0.83197,532.470818,1931737.989,656277.3359
192,1635,1.972348,828.961047,1933455.139,658364.6318
193,548,1.151392,475.945535,1933399.102,656275.2767
194,1306,1.345206,970.854977,1933754.407,663564.6151
195,967,0.451861,2140.040693,1930783.203,656675.8672
196,1499,0.823444,1820.403466,1934973.486,654766.1792
197,3117,2.116701,1472.574486,1960518.996,639812.2821
198,1138,25.986573,43.791846,1969043.524,640684.5957
199,339,0.508566,666.580093,1934634.034,666434.6001
,,,,1929539.673,655898.4001
